l_simp_chinese:
 religion_swap.1.t:0 "State Religion"
 standardize_east_aryan_addon_assamese.1.f:0 "Some of our advisors say that the $assamese$ culture should not be made part of our plans, be it for historical, linguistic, cultural or other reasons." 
 standardize_east_aryan_addon_assamese.1.a:0 "We will include them!"
 standardize_east_aryan_addon_assamese.1.b:0 "Perhaps its better to exclude them."
 standardize_east_aryan_addon_assamese_var_custom_tooltip:0 "Has decided to include the $assamese$."
 standardize_east_aryan_addon_assamese_not_var_custom_tooltip:0 "Has not yet decided to include the $assamese$ culture."
 eastern_african_culture:0 "Eastern African"
 standardize_eastern_african_culture_decision_var_custom_tooltip:0 "Has made the decision to develop the Eastern African culture"
 standardize_eastern_african_culture_decision_not_var_custom_tooltip:0 "Has not yet made the decision to develop the Eastern African culture"
 standardize_eastern_african_culture_decision:0 "Develop the Eastern African Culture"
 standardize_eastern_african_culture_decision_desc:0 "Prepare plans to eventually manifest this culture."
 je_standardize_eastern_african_culture:0 "Develop Eastern African"
 je_standardize_eastern_african_culture_reason:0 "With every new generation and every annual graduation of fresh minds from our schools our newly hatched syncretic culture will venture into the world. After 30 years we shall be reviewing the new status quo!"
 standardize_eastern_african_culture.1.t:0 "Emerging Eastern African Culture"
 standardize_eastern_african_culture.1.f:0 "By geographically uniting the many different cultures with each other it is now time to enter the next chapter that continues the integration of our people with each other. Be it orthography, festivities, customs or other good things that make us special, by sharing the beneficial and standardizing that which slows us down we can only multiply the great things we already have. And so, one sweet day, our people will look past the regional differences of old and first and foremost consider themselves as Eastern African."
 standardize_eastern_african_culture.1.a:0 "And so it shall be."
 standardize_eastern_african_culture.2.t:0 "Yearly graduation"
 standardize_eastern_african_culture.2.f:0 "New graduates."
 standardize_eastern_african_culture.2.a:0 "Nice."
 standardize_eastern_african_culture.3.t:0 "A Noticeable Cultural Change"
 standardize_eastern_african_culture.3.f:0 "It has been many years since we have started a process that still continues in our hearts and minds. This process has changed the way we perceive ourselves and others. Each day we define ourselves less with our region and more with our great fatherland. Even better, this development has ushered in a new leading culture, a shining light, that burns especially bright in the cities."
 standardize_eastern_african_culture.3.a:0 "A sign of progress."
 standardize_eastern_african_culture.3.b:0 "Perhaps we should hold onto the old ways a little while longer."
 standardize_eastern_african_culture.3.c:0 "We should push harder!"
 standardize_eastern_african_culture.4.t:0 "Welcome To The Fold"
 standardize_eastern_african_culture.4.f:0 "Although these regions have not been part of our transformative process from the start, now that they are part of it, we are eager to offer them the same prosperous future!" 
 standardize_eastern_african_culture.4.a:0 "All I see is family!"
 standardize_eastern_african_culture.5.t:0 "(Hidden) Yearly Conversion Event"
 standardize_eastern_african_culture.5.f:0 "New graduates." 
 standardize_eastern_african_culture.5.a:0 "Nice."
 standardize_eastern_african_culture.6.t:0 "$eastern_african_culture$ Debug Menu"
 standardize_eastern_african_culture.6.f:0 "While the yearly pop conversion does not take up much computational power, the added pops from the syncretic culture can. To combat the dreaded Pop-Fragmentation aka having many different culture pops in your game that cause a slow game, you can use the last option of this event to immediately convert all pops that match the criteria to $eastern_african_culture$. Every subsequent yearly tick event will also have a 100% conversion rate. This will only affect this country. If you want to use it for a syncretic culture you picked for an AI you can access this menu for the other culture via the respective culture debug menu by switching to said country. This action can not be undone for this play through! However choosing this will make the game run faster than Vanilla as you effectively eliminate a lot of pop fragments."
 standardize_eastern_african_culture.6.a:0 "Keep me around, just in case."
 standardize_eastern_african_culture.6.b:0 "Hide this menu and decision forever."
 standardize_eastern_african_culture.6.c:0 "Trigger an additional yearly conversion tick right now."
 standardize_eastern_african_culture.6.d:0 "Trigger the 30/50/70 year milestone event now."
 standardize_eastern_african_culture.6.e:0 "Convert all eligible pops to $eastern_african_culture$."
 standardize_eastern_african_culture.6.g:0 "Change state religion."
 complete_eastern_african_culture_decision_not_var_custom_tooltip:0 "Has not decided to set $eastern_african_culture$ conversion to 100%"
 complete_eastern_african_culture_decision_var_custom_tooltip:0 "Has decided to set $eastern_african_culture$ conversion to 100%"
 hide_eastern_african_culture_debug_menu_var_custom_tooltip:0 "Will remove the debug menu and decision to open it"
 complete_eastern_african_culture_decision:0 "Open Performance Helper Menu"
 complete_eastern_african_culture_decision_desc:0 "If you have performance issues or want to fast track the 30/50/70 year milestone event."
 rule_sc_eastern_african_culture:0 "Eastern African Occurrence"
 setting_sc_eastern_african_culture_never:0 "Never"
 setting_sc_eastern_african_culture_never_desc:0 "With this setting Eastern African will not automatically spawn. It can still be triggered by tag switching however."
 setting_sc_eastern_african_culture_manual:0 "Manual"
 setting_sc_eastern_african_culture_manual_desc:0 "With this setting Eastern African will not automatically spawn unless its part of the authors choice setting and that setting is enabled. It can still be triggered by tag switching however."
 setting_sc_eastern_african_culture_auto:0 "Automatic"
 setting_sc_eastern_african_culture_auto_desc:0 "With this setting Eastern African will always happen if the requirements are met."
 standardize_eastern_african_culture_addon_malagasy.1.t:0 "What about $malagasy$?"
 standardize_eastern_african_culture_addon_malagasy.1.f:0 "Some of our advisors say that the $malagasy$ culture should not be made part of our plans, be it for historical, linguistic, cultural or other reasons." 
 standardize_eastern_african_culture_addon_malagasy.1.a:0 "We will include them!"
 standardize_eastern_african_culture_addon_malagasy.1.b:0 "Perhaps its better to exclude them."
 standardize_eastern_african_culture_addon_malagasy_var_custom_tooltip:0 "Has decided to include the $malagasy$."
 standardize_eastern_african_culture_addon_malagasy_not_var_custom_tooltip:0 "Has not yet decided to include the $malagasy$ culture."
 ethiopian_culture:0 "Ethiopian"
 standardize_ethiopian_culture_decision_var_custom_tooltip:0 "Has made the decision to develop the Ethiopian culture"
 standardize_ethiopian_culture_decision_not_var_custom_tooltip:0 "Has not yet made the decision to develop the Ethiopian culture"
 standardize_ethiopian_culture_decision:0 "Develop the Ethiopian Culture"
 standardize_ethiopian_culture_decision_desc:0 "Prepare plans to eventually manifest this culture."
 je_standardize_ethiopian_culture:0 "Develop Ethiopian"
 je_standardize_ethiopian_culture_reason:0 "With every new generation and every annual graduation of fresh minds from our schools our newly hatched syncretic culture will venture into the world. After 30 years we shall be reviewing the new status quo!"
 standardize_ethiopian_culture.1.t:0 "Emerging Ethiopian Culture"
 standardize_ethiopian_culture.1.f:0 "By geographically uniting the many different cultures with each other it is now time to enter the next chapter that continues the integration of our people with each other. Be it orthography, festivities, customs or other good things that make us special, by sharing the beneficial and standardizing that which slows us down we can only multiply the great things we already have. And so, one sweet day, our people will look past the regional differences of old and first and foremost consider themselves as Ethiopian."
 standardize_ethiopian_culture.1.a:0 "And so it shall be."
 standardize_ethiopian_culture.2.t:0 "Yearly graduation"
 standardize_ethiopian_culture.2.f:0 "New graduates."
 standardize_ethiopian_culture.2.a:0 "Nice."
 standardize_ethiopian_culture.3.t:0 "A Noticeable Cultural Change"
 standardize_ethiopian_culture.3.f:0 "It has been many years since we have started a process that still continues in our hearts and minds. This process has changed the way we perceive ourselves and others. Each day we define ourselves less with our region and more with our great fatherland. Even better, this development has ushered in a new leading culture, a shining light, that burns especially bright in the cities."
 standardize_ethiopian_culture.3.a:0 "A sign of progress."
 standardize_ethiopian_culture.3.b:0 "Perhaps we should hold onto the old ways a little while longer."
 standardize_ethiopian_culture.3.c:0 "We should push harder!"
 standardize_ethiopian_culture.4.t:0 "Welcome To The Fold"
 standardize_ethiopian_culture.4.f:0 "Although these regions have not been part of our transformative process from the start, now that they are part of it, we are eager to offer them the same prosperous future!" 
 standardize_ethiopian_culture.4.a:0 "All I see is family!"
 standardize_ethiopian_culture.5.t:0 "(Hidden) Yearly Conversion Event"
 standardize_ethiopian_culture.5.f:0 "New graduates." 
 standardize_ethiopian_culture.5.a:0 "Nice."
 standardize_ethiopian_culture.6.t:0 "$ethiopian_culture$ Debug Menu"
 standardize_ethiopian_culture.6.f:0 "While the yearly pop conversion does not take up much computational power, the added pops from the syncretic culture can. To combat the dreaded Pop-Fragmentation aka having many different culture pops in your game that cause a slow game, you can use the last option of this event to immediately convert all pops that match the criteria to $ethiopian_culture$. Every subsequent yearly tick event will also have a 100% conversion rate. This will only affect this country. If you want to use it for a syncretic culture you picked for an AI you can access this menu for the other culture via the respective culture debug menu by switching to said country. This action can not be undone for this play through! However choosing this will make the game run faster than Vanilla as you effectively eliminate a lot of pop fragments."
 standardize_ethiopian_culture.6.a:0 "Keep me around, just in case."
 standardize_ethiopian_culture.6.b:0 "Hide this menu and decision forever."
 standardize_ethiopian_culture.6.c:0 "Trigger an additional yearly conversion tick right now."
 standardize_ethiopian_culture.6.d:0 "Trigger the 30/50/70 year milestone event now."
 standardize_ethiopian_culture.6.e:0 "Convert all eligible pops to $ethiopian_culture$."
 standardize_ethiopian_culture.6.g:0 "Change state religion."
 complete_ethiopian_culture_decision_not_var_custom_tooltip:0 "Has not decided to set $ethiopian_culture$ conversion to 100%"
 complete_ethiopian_culture_decision_var_custom_tooltip:0 "Has decided to set $ethiopian_culture$ conversion to 100%"
 hide_ethiopian_culture_debug_menu_var_custom_tooltip:0 "Will remove the debug menu and decision to open it"
 complete_ethiopian_culture_decision:0 "Open Performance Helper Menu"
 complete_ethiopian_culture_decision_desc:0 "If you have performance issues or want to fast track the 30/50/70 year milestone event."
 rule_sc_ethiopian_culture:0 "Ethiopian Occurrence"
 setting_sc_ethiopian_culture_never:0 "Never"
 setting_sc_ethiopian_culture_never_desc:0 "With this setting Ethiopian will not automatically spawn. It can still be triggered by tag switching however."
 setting_sc_ethiopian_culture_manual:0 "Manual"
 setting_sc_ethiopian_culture_manual_desc:0 "With this setting Ethiopian will not automatically spawn unless its part of the authors choice setting and that setting is enabled. It can still be triggered by tag switching however."
 setting_sc_ethiopian_culture_auto:0 "Automatic"
 setting_sc_ethiopian_culture_auto_desc:0 "With this setting Ethiopian will always happen if the requirements are met."
 standardize_ethiopian_culture_addon_somali.1.t:0 "What about $somali$?"
 standardize_ethiopian_culture_addon_somali.1.f:0 "Some of our advisors say that the $somali$ culture should not be made part of our plans, be it for historical, linguistic, cultural or other reasons." 
 standardize_ethiopian_culture_addon_somali.1.a:0 "We will include them!"
 standardize_ethiopian_culture_addon_somali.1.b:0 "Perhaps its better to exclude them."
 standardize_ethiopian_culture_addon_somali_var_custom_tooltip:0 "Has decided to include the $somali$."
 standardize_ethiopian_culture_addon_somali_not_var_custom_tooltip:0 "Has not yet decided to include the $somali$ culture."
 european_american:0 "European American"
 standardize_european_american_decision_var_custom_tooltip:0 "Has made the decision to develop the European American culture"
 standardize_european_american_decision_not_var_custom_tooltip:0 "Has not yet made the decision to develop the European American culture"
 standardize_european_american_decision:0 "Develop the European American Culture"
 standardize_european_american_decision_desc:0 "Prepare plans to eventually manifest this culture."
 je_standardize_european_american:0 "Develop European American"
 je_standardize_european_american_reason:0 "With every new generation and every annual graduation of fresh minds from our schools our newly hatched syncretic culture will venture into the world. After 30 years we shall be reviewing the new status quo!"
 standardize_european_american.1.t:0 "Emerging European American Culture"
 standardize_european_american.1.f:0 "By geographically uniting the many different cultures with each other it is now time to enter the next chapter that continues the integration of our people with each other. Be it orthography, festivities, customs or other good things that make us special, by sharing the beneficial and standardizing that which slows us down we can only multiply the great things we already have. And so, one sweet day, our people will look past the regional differences of old and first and foremost consider themselves as European American."
 standardize_european_american.1.a:0 "And so it shall be."
 standardize_european_american.2.t:0 "Yearly graduation"
 standardize_european_american.2.f:0 "New graduates."
 standardize_european_american.2.a:0 "Nice."
 standardize_european_american.3.t:0 "A Noticeable Cultural Change"
 standardize_european_american.3.f:0 "It has been many years since we have started a process that still continues in our hearts and minds. This process has changed the way we perceive ourselves and others. Each day we define ourselves less with our region and more with our great fatherland. Even better, this development has ushered in a new leading culture, a shining light, that burns especially bright in the cities."
 standardize_european_american.3.a:0 "A sign of progress."
 standardize_european_american.3.b:0 "Perhaps we should hold onto the old ways a little while longer."
 standardize_european_american.3.c:0 "We should push harder!"
 standardize_european_american.4.t:0 "Welcome To The Fold"
 standardize_european_american.4.f:0 "Although these regions have not been part of our transformative process from the start, now that they are part of it, we are eager to offer them the same prosperous future!" 
 standardize_european_american.4.a:0 "All I see is family!"
 standardize_european_american.5.t:0 "(Hidden) Yearly Conversion Event"
 standardize_european_american.5.f:0 "New graduates." 
 standardize_european_american.5.a:0 "Nice."
 standardize_european_american.6.t:0 "$european_american$ Debug Menu"
 standardize_european_american.6.f:0 "While the yearly pop conversion does not take up much computational power, the added pops from the syncretic culture can. To combat the dreaded Pop-Fragmentation aka having many different culture pops in your game that cause a slow game, you can use the last option of this event to immediately convert all pops that match the criteria to $european_american$. Every subsequent yearly tick event will also have a 100% conversion rate. This will only affect this country. If you want to use it for a syncretic culture you picked for an AI you can access this menu for the other culture via the respective culture debug menu by switching to said country. This action can not be undone for this play through! However choosing this will make the game run faster than Vanilla as you effectively eliminate a lot of pop fragments."
 standardize_european_american.6.a:0 "Keep me around, just in case."
 standardize_european_american.6.b:0 "Hide this menu and decision forever."
 standardize_european_american.6.c:0 "Trigger an additional yearly conversion tick right now."
 standardize_european_american.6.d:0 "Trigger the 30/50/70 year milestone event now."
 standardize_european_american.6.e:0 "Convert all eligible pops to $european_american$."
 standardize_european_american.6.g:0 "Change state religion."
 complete_european_american_decision_not_var_custom_tooltip:0 "Has not decided to set $european_american$ conversion to 100%"
 complete_european_american_decision_var_custom_tooltip:0 "Has decided to set $european_american$ conversion to 100%"
 hide_european_american_debug_menu_var_custom_tooltip:0 "Will remove the debug menu and decision to open it"
 complete_european_american_decision:0 "Open Performance Helper Menu"
 complete_european_american_decision_desc:0 "If you have performance issues or want to fast track the 30/50/70 year milestone event."
 rule_sc_european_american:0 "European American Occurrence"
 setting_sc_european_american_never:0 "Never"
 setting_sc_european_american_never_desc:0 "With this setting European American will not automatically spawn. It can still be triggered by tag switching however."
 setting_sc_european_american_manual:0 "Manual"
 setting_sc_european_american_manual_desc:0 "With this setting European American will not automatically spawn unless its part of the authors choice setting and that setting is enabled. It can still be triggered by tag switching however."
 setting_sc_european_american_auto:0 "Automatic"
 setting_sc_european_american_auto_desc:0 "With this setting European American will always happen if the requirements are met."
 standardize_european_american_addon_afro_american.1.t:0 "What about $afro_american$?"
 standardize_european_american_addon_afro_american.1.f:0 "Some of our advisors say that the $afro_american$ culture should not be made part of our plans, be it for historical, linguistic, cultural or other reasons." 
 standardize_european_american_addon_afro_american.1.a:0 "We will include them!"
 standardize_european_american_addon_afro_american.1.b:0 "Perhaps its better to exclude them."
 standardize_european_american_addon_afro_american_var_custom_tooltip:0 "Has decided to include the $afro_american$."
 standardize_european_american_addon_afro_american_not_var_custom_tooltip:0 "Has not yet decided to include the $afro_american$ culture."
 standardize_european_american_addon_afro_antillean.1.t:0 "What about $afro_antillean$?"
 standardize_european_american_addon_afro_antillean.1.f:0 "Some of our advisors say that the $afro_antillean$ culture should not be made part of our plans, be it for historical, linguistic, cultural or other reasons." 
 standardize_european_american_addon_afro_antillean.1.a:0 "We will include them!"
 standardize_european_american_addon_afro_antillean.1.b:0 "Perhaps its better to exclude them."
 standardize_european_american_addon_afro_antillean_var_custom_tooltip:0 "Has decided to include the $afro_antillean$."
 standardize_european_american_addon_afro_antillean_not_var_custom_tooltip:0 "Has not yet decided to include the $afro_antillean$ culture."
 standardize_european_american_addon_afro_caribeno.1.t:0 "What about $afro_caribeno$?"
 standardize_european_american_addon_afro_caribeno.1.f:0 "Some of our advisors say that the $afro_caribeno$ culture should not be made part of our plans, be it for historical, linguistic, cultural or other reasons." 
 standardize_european_american_addon_afro_caribeno.1.a:0 "We will include them!"
 standardize_european_american_addon_afro_caribeno.1.b:0 "Perhaps its better to exclude them."
 standardize_european_american_addon_afro_caribeno_var_custom_tooltip:0 "Has decided to include the $afro_caribeno$."
 standardize_european_american_addon_afro_caribeno_not_var_custom_tooltip:0 "Has not yet decided to include the $afro_caribeno$ culture."
 standardize_european_american_addon_afro_brazilian.1.t:0 "What about $afro_brazilian$?"
 standardize_european_american_addon_afro_brazilian.1.f:0 "Some of our advisors say that the $afro_brazilian$ culture should not be made part of our plans, be it for historical, linguistic, cultural or other reasons." 
 standardize_european_american_addon_afro_brazilian.1.a:0 "We will include them!"
 standardize_european_american_addon_afro_brazilian.1.b:0 "Perhaps its better to exclude them."
 standardize_european_american_addon_afro_brazilian_var_custom_tooltip:0 "Has decided to include the $afro_brazilian$."
 standardize_european_american_addon_afro_brazilian_not_var_custom_tooltip:0 "Has not yet decided to include the $afro_brazilian$ culture."
 european_culture:0 "European"
 standardize_european_culture_decision_var_custom_tooltip:0 "Has made the decision to develop the European culture"
 standardize_european_culture_decision_not_var_custom_tooltip:0 "Has not yet made the decision to develop the European culture"
 standardize_european_culture_decision:0 "Develop the European Culture"
 standardize_european_culture_decision_desc:0 "Prepare plans to eventually manifest this culture."
 je_standardize_european_culture:0 "Develop European"
 je_standardize_european_culture_reason:0 "With every new generation and every annual graduation of fresh minds from our schools our newly hatched syncretic culture will venture into the world. After 30 years we shall be reviewing the new status quo!"
 standardize_european_culture.1.t:0 "Emerging European Culture"
 standardize_european_culture.1.f:0 "By geographically uniting the many different cultures with each other it is now time to enter the next chapter that continues the integration of our people with each other. Be it orthography, festivities, customs or other good things that make us special, by sharing the beneficial and standardizing that which slows us down we can only multiply the great things we already have. And so, one sweet day, our people will look past the regional differences of old and first and foremost consider themselves as European."
 standardize_european_culture.1.a:0 "And so it shall be."
 standardize_european_culture.2.t:0 "Yearly graduation"
 standardize_european_culture.2.f:0 "New graduates."
 standardize_european_culture.2.a:0 "Nice."
 standardize_european_culture.3.t:0 "A Noticeable Cultural Change"
 standardize_european_culture.3.f:0 "It has been many years since we have started a process that still continues in our hearts and minds. This process has changed the way we perceive ourselves and others. Each day we define ourselves less with our region and more with our great fatherland. Even better, this development has ushered in a new leading culture, a shining light, that burns especially bright in the cities."
 standardize_european_culture.3.a:0 "A sign of progress."
 standardize_european_culture.3.b:0 "Perhaps we should hold onto the old ways a little while longer."
 standardize_european_culture.3.c:0 "We should push harder!"
 standardize_european_culture.4.t:0 "Welcome To The Fold"
 standardize_european_culture.4.f:0 "Although these regions have not been part of our transformative process from the start, now that they are part of it, we are eager to offer them the same prosperous future!" 
 standardize_european_culture.4.a:0 "All I see is family!"
 standardize_european_culture.5.t:0 "(Hidden) Yearly Conversion Event"
 standardize_european_culture.5.f:0 "New graduates." 
 standardize_european_culture.5.a:0 "Nice."
 standardize_european_culture.6.t:0 "$european_culture$ Debug Menu"
 standardize_european_culture.6.f:0 "While the yearly pop conversion does not take up much computational power, the added pops from the syncretic culture can. To combat the dreaded Pop-Fragmentation aka having many different culture pops in your game that cause a slow game, you can use the last option of this event to immediately convert all pops that match the criteria to $european_culture$. Every subsequent yearly tick event will also have a 100% conversion rate. This will only affect this country. If you want to use it for a syncretic culture you picked for an AI you can access this menu for the other culture via the respective culture debug menu by switching to said country. This action can not be undone for this play through! However choosing this will make the game run faster than Vanilla as you effectively eliminate a lot of pop fragments."
 standardize_european_culture.6.a:0 "Keep me around, just in case."
 standardize_european_culture.6.b:0 "Hide this menu and decision forever."
 standardize_european_culture.6.c:0 "Trigger an additional yearly conversion tick right now."
 standardize_european_culture.6.d:0 "Trigger the 30/50/70 year milestone event now."
 standardize_european_culture.6.e:0 "Convert all eligible pops to $european_culture$."
 standardize_european_culture.6.g:0 "Change state religion."
 complete_european_culture_decision_not_var_custom_tooltip:0 "Has not decided to set $european_culture$ conversion to 100%"
 complete_european_culture_decision_var_custom_tooltip:0 "Has decided to set $european_culture$ conversion to 100%"
 hide_european_culture_debug_menu_var_custom_tooltip:0 "Will remove the debug menu and decision to open it"
 complete_european_culture_decision:0 "Open Performance Helper Menu"
 complete_european_culture_decision_desc:0 "If you have performance issues or want to fast track the 30/50/70 year milestone event."
 rule_sc_european_culture:0 "European Occurrence"
 setting_sc_european_culture_never:0 "Never"
 setting_sc_european_culture_never_desc:0 "With this setting European will not automatically spawn. It can still be triggered by tag switching however."
 setting_sc_european_culture_manual:0 "Manual"
 setting_sc_european_culture_manual_desc:0 "With this setting European will not automatically spawn unless its part of the authors choice setting and that setting is enabled. It can still be triggered by tag switching however."
 setting_sc_european_culture_auto:0 "Automatic"
 setting_sc_european_culture_auto_desc:0 "With this setting European will always happen if the requirements are met."
 finnic_culture:0 "Finnic"
 standardize_finnic_culture_decision_var_custom_tooltip:0 "Has made the decision to develop the Finnic culture"
 standardize_finnic_culture_decision_not_var_custom_tooltip:0 "Has not yet made the decision to develop the Finnic culture"
 standardize_finnic_culture_decision:0 "Develop the Finnic Culture"
 standardize_finnic_culture_decision_desc:0 "Prepare plans to eventually manifest this culture."
 je_standardize_finnic_culture:0 "Develop Finnic"
 je_standardize_finnic_culture_reason:0 "With every new generation and every annual graduation of fresh minds from our schools our newly hatched syncretic culture will venture into the world. After 30 years we shall be reviewing the new status quo!"
 standardize_finnic_culture.1.t:0 "Emerging Finnic Culture"
 standardize_finnic_culture.1.f:0 "By geographically uniting the many different cultures with each other it is now time to enter the next chapter that continues the integration of our people with each other. Be it orthography, festivities, customs or other good things that make us special, by sharing the beneficial and standardizing that which slows us down we can only multiply the great things we already have. And so, one sweet day, our people will look past the regional differences of old and first and foremost consider themselves as Finnic."
 standardize_finnic_culture.1.a:0 "And so it shall be."
 standardize_finnic_culture.2.t:0 "Yearly graduation"
 standardize_finnic_culture.2.f:0 "New graduates."
 standardize_finnic_culture.2.a:0 "Nice."
 standardize_finnic_culture.3.t:0 "A Noticeable Cultural Change"
 standardize_finnic_culture.3.f:0 "It has been many years since we have started a process that still continues in our hearts and minds. This process has changed the way we perceive ourselves and others. Each day we define ourselves less with our region and more with our great fatherland. Even better, this development has ushered in a new leading culture, a shining light, that burns especially bright in the cities."
 standardize_finnic_culture.3.a:0 "A sign of progress."
 standardize_finnic_culture.3.b:0 "Perhaps we should hold onto the old ways a little while longer."
 standardize_finnic_culture.3.c:0 "We should push harder!"
 standardize_finnic_culture.4.t:0 "Welcome To The Fold"
 standardize_finnic_culture.4.f:0 "Although these regions have not been part of our transformative process from the start, now that they are part of it, we are eager to offer them the same prosperous future!" 
 standardize_finnic_culture.4.a:0 "All I see is family!"
 standardize_finnic_culture.5.t:0 "(Hidden) Yearly Conversion Event"
 standardize_finnic_culture.5.f:0 "New graduates." 
 standardize_finnic_culture.5.a:0 "Nice."
 standardize_finnic_culture.6.t:0 "$finnic_culture$ Debug Menu"
 standardize_finnic_culture.6.f:0 "While the yearly pop conversion does not take up much computational power, the added pops from the syncretic culture can. To combat the dreaded Pop-Fragmentation aka having many different culture pops in your game that cause a slow game, you can use the last option of this event to immediately convert all pops that match the criteria to $finnic_culture$. Every subsequent yearly tick event will also have a 100% conversion rate. This will only affect this country. If you want to use it for a syncretic culture you picked for an AI you can access this menu for the other culture via the respective culture debug menu by switching to said country. This action can not be undone for this play through! However choosing this will make the game run faster than Vanilla as you effectively eliminate a lot of pop fragments."
 standardize_finnic_culture.6.a:0 "Keep me around, just in case."
 standardize_finnic_culture.6.b:0 "Hide this menu and decision forever."
 standardize_finnic_culture.6.c:0 "Trigger an additional yearly conversion tick right now."
 standardize_finnic_culture.6.d:0 "Trigger the 30/50/70 year milestone event now."
 standardize_finnic_culture.6.e:0 "Convert all eligible pops to $finnic_culture$."
 standardize_finnic_culture.6.g:0 "Change state religion."
 complete_finnic_culture_decision_not_var_custom_tooltip:0 "Has not decided to set $finnic_culture$ conversion to 100%"
 complete_finnic_culture_decision_var_custom_tooltip:0 "Has decided to set $finnic_culture$ conversion to 100%"
 hide_finnic_culture_debug_menu_var_custom_tooltip:0 "Will remove the debug menu and decision to open it"
 complete_finnic_culture_decision:0 "Open Performance Helper Menu"
 complete_finnic_culture_decision_desc:0 "If you have performance issues or want to fast track the 30/50/70 year milestone event."
 rule_sc_finnic_culture:0 "Finnic Occurrence"
 setting_sc_finnic_culture_never:0 "Never"
 setting_sc_finnic_culture_never_desc:0 "With this setting Finnic will not automatically spawn. It can still be triggered by tag switching however."
 setting_sc_finnic_culture_manual:0 "Manual"
 setting_sc_finnic_culture_manual_desc:0 "With this setting Finnic will not automatically spawn unless its part of the authors choice setting and that setting is enabled. It can still be triggered by tag switching however."
 setting_sc_finnic_culture_auto:0 "Automatic"
 setting_sc_finnic_culture_auto_desc:0 "With this setting Finnic will always happen if the requirements are met."
 german:0 "German"
 standardize_german_decision_var_custom_tooltip:0 "Has made the decision to develop the German culture"
 standardize_german_decision_not_var_custom_tooltip:0 "Has not yet made the decision to develop the German culture"
 standardize_german_decision:0 "Develop the German Culture"
 standardize_german_decision_desc:0 "Prepare plans to eventually manifest this culture."
 je_standardize_german:0 "Develop German"
 je_standardize_german_reason:0 "With every new generation and every annual graduation of fresh minds from our schools our newly hatched syncretic culture will venture into the world. After 30 years we shall be reviewing the new status quo!"
 standardize_german.1.t:0 "Emerging German Culture"
 standardize_german.1.f:0 "By geographically uniting the many different cultures with each other it is now time to enter the next chapter that continues the integration of our people with each other. Be it orthography, festivities, customs or other good things that make us special, by sharing the beneficial and standardizing that which slows us down we can only multiply the great things we already have. And so, one sweet day, our people will look past the regional differences of old and first and foremost consider themselves as German."
 standardize_german.1.a:0 "And so it shall be."
 standardize_german.2.t:0 "Yearly graduation"
 standardize_german.2.f:0 "New graduates."
 standardize_german.2.a:0 "Nice."
 standardize_german.3.t:0 "A Noticeable Cultural Change"
 standardize_german.3.f:0 "It has been many years since we have started a process that still continues in our hearts and minds. This process has changed the way we perceive ourselves and others. Each day we define ourselves less with our region and more with our great fatherland. Even better, this development has ushered in a new leading culture, a shining light, that burns especially bright in the cities."
 standardize_german.3.a:0 "A sign of progress."
 standardize_german.3.b:0 "Perhaps we should hold onto the old ways a little while longer."
 standardize_german.3.c:0 "We should push harder!"
 standardize_german.4.t:0 "Welcome To The Fold"
 standardize_german.4.f:0 "Although these regions have not been part of our transformative process from the start, now that they are part of it, we are eager to offer them the same prosperous future!" 
 standardize_german.4.a:0 "All I see is family!"
 standardize_german.5.t:0 "(Hidden) Yearly Conversion Event"
 standardize_german.5.f:0 "New graduates." 
 standardize_german.5.a:0 "Nice."
 standardize_german.6.t:0 "$german$ Debug Menu"
 standardize_german.6.f:0 "While the yearly pop conversion does not take up much computational power, the added pops from the syncretic culture can. To combat the dreaded Pop-Fragmentation aka having many different culture pops in your game that cause a slow game, you can use the last option of this event to immediately convert all pops that match the criteria to $german$. Every subsequent yearly tick event will also have a 100% conversion rate. This will only affect this country. If you want to use it for a syncretic culture you picked for an AI you can access this menu for the other culture via the respective culture debug menu by switching to said country. This action can not be undone for this play through! However choosing this will make the game run faster than Vanilla as you effectively eliminate a lot of pop fragments."
 standardize_german.6.a:0 "Keep me around, just in case."
 standardize_german.6.b:0 "Hide this menu and decision forever."
 standardize_german.6.c:0 "Trigger an additional yearly conversion tick right now."
 standardize_german.6.d:0 "Trigger the 30/50/70 year milestone event now."
 standardize_german.6.e:0 "Convert all eligible pops to $german$."
 standardize_german.6.g:0 "Change state religion."
 complete_german_decision_not_var_custom_tooltip:0 "Has not decided to set $german$ conversion to 100%"
 complete_german_decision_var_custom_tooltip:0 "Has decided to set $german$ conversion to 100%"
 hide_german_debug_menu_var_custom_tooltip:0 "Will remove the debug menu and decision to open it"
 complete_german_decision:0 "Open Performance Helper Menu"
 complete_german_decision_desc:0 "If you have performance issues or want to fast track the 30/50/70 year milestone event."
 rule_sc_german:0 "German Occurrence"
 setting_sc_german_never:0 "Never"
 setting_sc_german_never_desc:0 "With this setting German will not automatically spawn. It can still be triggered by tag switching however."
 setting_sc_german_manual:0 "Manual"
 setting_sc_german_manual_desc:0 "With this setting German will not automatically spawn unless its part of the authors choice setting and that setting is enabled. It can still be triggered by tag switching however."
 setting_sc_german_auto:0 "Automatic"
 setting_sc_german_auto_desc:0 "With this setting German will always happen if the requirements are met."
 standardize_german_addon_slovene.1.t:0 "What about $slovene$?"
